DR1107.PV,WRA1103.PV,WR1104.PV,FI1111.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TRC1118A.PV,TI1118A.PV
204.4125,105.4912,103.378,5003.48,5003.48,190465,631.605,86.475,674.4,674.4
201.9375,104.3887,102.3,5002.6201,5002.6201,190553,632.385,86.625,674.25,674.25
200.925,103.8375,101.761,5002.6201,5002.6201,190597,632.7425,86.425,674.2,674.2
199.755,103.2862,101.222,5002.6201,5002.6201,190641,633.1,86.275,674.15,674.15
199.1925,102.7462,100.683,5002.6201,5002.6201,190685,633.4575,86.325,674.05,674.05
198.27,102.195,100.155,5001.7598,5001.7598,190718,633.7825,86.25,674.0,674.0
196.83,101.6437,99.616,5001.7598,5001.7598,190762,634.14,86.675,673.95,673.95
196.2,101.1037,99.077,5001.7598,5001.7598,190795,634.4975,86.1,673.85,673.85
194.895,100.5525,98.538,5001.7598,5001.7598,190839,634.855,86.25,673.8,673.8
194.895,100.5525,98.538,5001.7598,5001.7598,190839,634.855,86.25,673.8,673.8
192.645,99.4613,97.471,5002.6201,5002.6201,190839,635.6025,86.675,673.8,673.65
192.645,99.4613,97.471,5002.6201,5002.6201,190916,635.6025,86.675,673.65,673.65
190.7325,98.3587,96.393,5002.6201,5002.6201,190982,636.3175,86.825,673.55,673.55
189.3825,97.8187,95.854,5002.6201,5002.6201,191026,636.675,86.55,673.45,673.45
188.7975,97.2675,95.326,5001.7598,5001.7598,191059,637.0325,86.275,673.4,673.4
187.425,96.7162,94.787,5001.7598,5001.7598,191092,637.39,86.575,673.35,673.35
186.9075,96.1762,94.248,5001.7598,5001.7598,191125,637.715,86.55,673.25,673.25
186.0075,95.625,93.709,5001.7598,5001.7598,191169,638.0725,86.125,673.2,673.2
184.005,95.0737,93.181,5001.7598,5001.7598,191202,638.3975,86.875,673.15,673.15
183.105,94.5337,92.642,5002.6201,5002.6201,191235,638.7225,86.1,673.05,673.05
182.07,93.9825,92.103,5002.6201,5002.6201,191268,639.0475,86.025,673.0,673.0
182.07,93.9825,92.103,5002.6201,5002.6201,191268,639.0475,86.025,673.0,673.0
179.7975,92.8913,91.036,5001.7598,5001.7598,191345,639.6975,86.725,672.85,672.85
179.595,92.3512,90.497,5001.7598,5001.7598,191378,639.99,86.725,672.8,672.8
178.695,91.8,89.969,5001.7598,5001.7598,191411,640.315,86.725,672.75,672.75
176.6925,91.26,89.43,5001.7598,5001.7598,191444,640.6075,86.35,672.65,672.65
176.4,90.7087,88.891,5001.7598,5001.7598,191477,640.9,86.3,672.6,672.6
175.23,90.1687,88.363,5001.7598,5001.7598,191521,641.225,86.75,672.5,672.5
173.565,89.6175,87.824,5001.7598,5001.7598,191554,641.5175,86.425,672.45,672.45
172.8675,89.0775,87.296,5002.6201,5002.6201,191587,641.81,86.125,672.4,672.4
171.675,88.5262,86.757,5002.6201,5002.6201,191620,642.1025,86.325,672.3,672.3
171.0675,87.9862,86.229,5001.7598,5001.7598,191664,642.3625,86.975,672.25,672.25
169.92,87.4463,85.69,5001.7598,5001.7598,191697,642.655,86.525,672.15,672.15
